id,Company_name,Year,Quarter,Month_name,Day,Date,Revenue,state,Zip_code,Month
8,"UBER TECHNOLOGIES, INC",2020,Qtr 4,December,31,2020-12-31,11139000000,CA,94158,12
9,WALMART INC.,2019,Qtr 1,January,31,2019-01-31,514405000000,AR,72716,1
9,WALMART INC.,2020,Qtr 1,January,31,2020-01-31,523964000000,AR,72716,1
9,WALMART INC.,2021,Qtr 1,January,31,2021-01-31,559151000000,AR,72716,1
10,WENDY'S CO,2018,Qtr 4,December,31,2018-12-31,1589936000,OH,43017,12
10,WENDY'S CO,2019,Qtr 1,March,31,2019-03-31,408583000,OH,43017,3
10,WENDY'S CO,2019,Qtr 2,June,30,2019-06-30,435348000,OH,43017,6
10,WENDY'S CO,2019,Qtr 3,September,30,2019-09-30,437880000,OH,43017,9
10,WENDY'S CO,2019,Qtr 4,December,31,2019-12-31,427191000,OH,43017,12
10,WENDY'S CO,2019,Qtr 4,December,31,2019-12-31,1709002000,OH,43017,12
10,WENDY'S CO,2020,Qtr 1,March,31,2020-03-31,404960000,OH,43017,3
10,WENDY'S CO,2020,Qtr 2,June,30,2020-06-30,402306000,OH,43017,6
10,WENDY'S CO,2020,Qtr 3,September,30,2020-09-30,452242000,OH,43017,9
10,WENDY'S CO,2020,Qtr 4,December,31,2020-12-31,474317000,OH,43017,12
10,WENDY'S CO,2020,Qtr 4,December,31,2020-12-31,1733825000,OH,43017,12
