2021-06-03 12:26:47,1400428748810432516,0,67,b'RT @Chris1928: Sadly @netflix after 10 years I had to #CancelNetflix. The #StrangerThings collab with @7DS_en should have never been given\xe2\x80\xa6'

2021-06-03 12:22:17,1400427619699630082,0,1,b'RT @YtheYandY: Another Netflix show cancelled \xf0\x9f\x98\x9e #CancelNetflix'

2021-06-03 12:09:31,1400424404568449024,3,1,b'Another Netflix show cancelled \xf0\x9f\x98\x9e #CancelNetflix https://t.co/Q9fxD8Njr7'

2021-06-03 09:46:50,1400388498151161858,2,0,"b""@BlefuscudianV @Variety I will never watch a new series on @netflix again. An I'm leaning towards #CancelNetflix"""

2021-06-03 00:55:21,1400254745265192960,4,0,b'@protestisnoble @mrmarkmillar Are you talking about #CancelNetflix and #RestoreJupitersLegacy ??? https://t.co/fRTMBisapy'

2021-06-02 22:29:40,1400218082480738307,0,67,b'RT @Chris1928: Sadly @netflix after 10 years I had to #CancelNetflix. The #StrangerThings collab with @7DS_en should have never been given\xe2\x80\xa6'

2021-06-02 15:30:09,1400112507721682949,0,67,b'RT @Chris1928: Sadly @netflix after 10 years I had to #CancelNetflix. The #StrangerThings collab with @7DS_en should have never been given\xe2\x80\xa6'

2021-06-02 11:44:51,1400055808260517889,0,0,b'Why i get an email saying they starting to add GST/HST to #netflix @netflix .... lmao why now? After X amount of years of netflix being available? #cancelnetflix'

2021-06-02 07:01:19,1399984457797431302,0,67,b'RT @Chris1928: Sadly @netflix after 10 years I had to #CancelNetflix. The #StrangerThings collab with @7DS_en should have never been given\xe2\x80\xa6'

2021-06-01 23:53:36,1399876817943728131,0,67,b'RT @Chris1928: Sadly @netflix after 10 years I had to #CancelNetflix. The #StrangerThings collab with @7DS_en should have never been given\xe2\x80\xa6'

2021-06-01 16:59:53,1399772701171060736,0,67,b'RT @Chris1928: Sadly @netflix after 10 years I had to #CancelNetflix. The #StrangerThings collab with @7DS_en should have never been given\xe2\x80\xa6'

2021-06-01 10:52:30,1399680246849445900,0,67,b'RT @Chris1928: Sadly @netflix after 10 years I had to #CancelNetflix. The #StrangerThings collab with @7DS_en should have never been given\xe2\x80\xa6'

2021-06-01 07:11:04,1399624521427030018,0,38,"b""RT @SamParkerSenate: Once you learn to recognize their language, you'll see that they even admit it.\n\nTheir process of destruction is alway\xe2\x80\xa6"""

2021-06-01 07:10:26,1399624364610396163,0,133,b'RT @SamParkerSenate: Leftist playbook: \n1. Target any Western institution or cultural artifact\n2. Infiltrate it\n3. Gut it\n4. Skin it\n5. Par\xe2\x80\xa6'

2021-06-01 07:10:12,1399624305365843972,0,112,"b""RT @SamParkerSenate: When I was in 4th grade, I remember reading the 1st 8 books in Baby-Sitters Club b/c that's what my older sister was r\xe2\x80\xa6"""

2021-06-01 07:09:39,1399624166978977800,0,250,"b'RT @SamParkerSenate: Now, go check out my thread on @Netflix trying to normalize this stuff with kids &amp; adolescents. #CancelNetflix\n\nhttps:\xe2\x80\xa6'"

2021-06-01 06:25:53,1399613149351874560,0,67,b'RT @Chris1928: Sadly @netflix after 10 years I had to #CancelNetflix. The #StrangerThings collab with @7DS_en should have never been given\xe2\x80\xa6'

